Equipment_ID,Equipment_Type,Age_Years,Operating_Hours,Failures_Last_Year,Maintenance_Due,Temperature,Vibration,Pressure,Inspection_Score,Previous_Incidents,Risk_Level
C0001,Compressor,12,10382,3,1,77.1,6,9.5,61,0,MEDIUM
T0002,Turbine,12,7764,3,0,86.7,4.7,10,56,1,MEDIUM
B0003,Boiler,4,6101,3,0,73.3,5.7,10.1,79,0,LOW
T0004,Turbine,16,13323,3,1,90.9,7,8.3,54,0,HIGH
T0005,Turbine,4,14031,2,0,67.7,4.5,4.7,95,0,LOW
M0006,Motor,5,13640,1,1,65.2,2.9,8,84,0,LOW
B0007,Boiler,5,8843,3,0,90.6,5.4,9.5,73,2,MEDIUM
B0008,Boiler,8,1072,3,0,85.5,5,7.8,83,2,MEDIUM
B0009,Boiler,10,6472,0,0,75.8,4.2,9.6,80,0,LOW
T0010,Turbine,17,11106,4,0,93.4,5.1,9.5,44,1,HIGH
C0011,Compressor,9,6189,1,0,79.6,3.5,8.2,78,1,LOW
B0012,Boiler,19,3472,2,0,93.6,8.3,9.2,69,0,MEDIUM
T0013,Turbine,14,12238,1,1,79.2,3.9,7.8,64,0,LOW
M0014,Motor,8,1707,1,0,67.6,3.2,3.6,82,0,LOW
C0015,Compressor,9,2804,2,1,73.9,4.2,6.9,81,0,LOW
M0016,Motor,11,7704,1,1,49.1,2.9,9.1,57,0,LOW
C0017,Compressor,1,4713,5,0,73.2,3,7.3,68,1,MEDIUM
T0018,Turbine,14,6051,0,0,72.1,3.8,6.7,62,1,LOW
P0019,Pump,5,11756,2,1,81.2,4.3,6,78,0,MEDIUM
C0020,Compressor,14,3475,4,0,88.2,6.8,10.9,60,1,HIGH
M0021,Motor,4,4610,2,1,57.5,3.8,10.1,89,0,LOW
T0022,Turbine,1,5255,0,1,56.1,2.2,5.7,92,0,LOW
C0023,Compressor,19,12015,5,1,90.1,9.6,8.7,35,0,HIGH
P0024,Pump,8,8397,1,0,73.8,3.7,6.3,82,2,LOW
P0025,Pump,15,2735,4,0,91.8,6.4,9.1,58,1,HIGH
B0026,Boiler,15,10777,3,0,94.2,6,8.7,48,1,HIGH
B0027,Boiler,9,9258,1,0,65.2,4.7,8.5,100,1,LOW
M0028,Motor,9,12253,0,1,68.8,5,7.5,80,0,LOW
C0029,Compressor,10,8979,2,0,65.1,4.1,12,76,2,MEDIUM
C0030,Compressor,20,3428,4,0,102.6,7.9,6.7,53,0,HIGH
B0031,Boiler,9,13345,0,1,72.7,3.8,4.4,81,0,LOW
C0032,Compressor,3,8426,1,0,66.5,2,6.7,89,0,LOW
C0033,Compressor,20,9533,1,0,88,5.7,4.9,55,0,MEDIUM
P0034,Pump,11,6249,0,0,74.8,1.9,4.8,85,0,LOW
B0035,Boiler,6,11966,2,1,82.8,2.2,6.1,76,3,MEDIUM
T0036,Turbine,2,6291,1,0,58.7,3.4,5.9,86,1,LOW
B0037,Boiler,7,3817,2,1,72.6,4,6.2,83,0,LOW
T0038,Turbine,18,11853,1,0,76.3,5.6,8.1,66,1,LOW
P0039,Pump,2,10424,0,1,51.1,2.3,6.2,94,0,LOW
M0040,Motor,17,4874,1,1,84.3,4.1,7,69,0,MEDIUM
C0041,Compressor,11,11593,0,0,80.3,3.6,8.3,80,0,LOW
P0042,Pump,12,10686,2,0,76.9,3.7,6.5,73,1,LOW
C0043,Compressor,19,5211,1,0,84.6,7.2,6.9,68,0,MEDIUM
M0044,Motor,7,1661,2,1,68.2,2.8,8.1,66,0,LOW
M0045,Motor,20,13075,1,0,83.7,5.5,4.4,60,0,LOW
P0046,Pump,6,14753,2,0,72.4,3,4,82,2,LOW
M0047,Motor,1,12811,3,0,53.5,4.9,8.4,79,2,MEDIUM
T0048,Turbine,17,11060,1,0,93.7,4.9,8,84,1,MEDIUM
M0049,Motor,11,11526,2,0,72.2,4.4,10.7,61,0,LOW
C0050,Compressor,18,4374,2,0,93.8,7.1,7.8,49,1,MEDIUM
C0051,Compressor,17,10208,3,0,79.3,6.7,9.1,68,2,HIGH
C0052,Compressor,7,13598,1,1,73.9,4.4,7,81,0,LOW
